--------- beginning of main
03-22 11:11:04.994  8730  8730 I com.detoxsampl: Late-enabling -Xcheck:jni
03-22 11:11:05.015  8730  8730 I com.detoxsampl: Unquickening 19 vdex files!
--------- beginning of system
03-22 11:11:05.063  8730  8730 W ActivityThread: Package uses different ABI(s) than its instrumentation: package[com.detoxsample]: arm64-v8a, null instrumentation[com.detoxsample.test]: null, null
03-22 11:11:05.063  8730  8730 I Typeface: Current DefaultTypeface ( lgtravel )
03-22 11:11:05.071  8730  8730 I com.detoxsampl: The ClassLoaderContext is a special shared library.
03-22 11:11:05.087  8730  8730 I com.detoxsampl: The ClassLoaderContext is a special shared library.
03-22 11:11:05.092  8730  8730 I chatty  : uid=10528(com.detoxsample) identical 1 line
03-22 11:11:05.093  8730  8730 I com.detoxsampl: The ClassLoaderContext is a special shared library.
03-22 11:11:05.279  8730  8730 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
03-22 11:11:05.279  8730  8730 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
03-22 11:11:05.280  8730  8730 I com.detoxsampl: The ClassLoaderContext is a special shared library.
03-22 11:11:05.282  8730  8730 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
03-22 11:11:05.282  8730  8730 D ApplicationLoaders: Returning zygote-cached class loader: /system/framework/android.test.base.jar
03-22 11:11:05.283  8730  8730 I com.detoxsampl: The ClassLoaderContext is a special shared library.
03-22 11:11:05.286  8730  8730 I chatty  : uid=10528(com.detoxsample) identical 2 lines
03-22 11:11:05.287  8730  8730 I com.detoxsampl: The ClassLoaderContext is a special shared library.
03-22 11:11:05.439  8730  8730 W com.detoxsampl: Accessing hidden method Landroid/app/Instrumentation;->execStartActivity(Landroid/content/Context;Landroid/os/IBinder;Landroid/os/IBinder;Landroid/app/Activity;Landroid/content/Intent;ILandroid/os/Bundle;)Landroid/app/Instrumentation$ActivityResult; (greylist, linking, allowed)
03-22 11:11:05.439  8730  8730 W com.detoxsampl: Accessing hidden method Landroid/app/Instrumentation;->execStartActivity(Landroid/content/Context;Landroid/os/IBinder;Landroid/os/IBinder;Ljava/lang/String;Landroid/content/Intent;ILandroid/os/Bundle;)Landroid/app/Instrumentation$ActivityResult; (greylist, linking, allowed)
03-22 11:11:05.448  8730  8730 D NetworkSecurityConfig: Using Network Security Config from resource network_security_config debugBuild: true
03-22 11:11:05.449  8730  8730 D NetworkSecurityConfig: Using Network Security Config from resource network_security_config debugBuild: true
03-22 11:11:05.450  8730  8730 I MonitoringInstr: Instrumentation started!
03-22 11:11:05.465  8730  8730 V TestEventClient: No service name argument was given (testDiscoveryService, testRunEventService or orchestratorService)
03-22 11:11:05.468  8730  8730 D SoLoader: init start
03-22 11:11:05.469  8730  8730 D SoLoader: adding system library source: /vendor/lib64
03-22 11:11:05.469  8730  8730 D SoLoader: adding system library source: /system/lib64
03-22 11:11:05.469  8730  8730 D SoLoader: adding application source: com.facebook.soloader.DirectorySoSource[root = /data/app/~~3FvMi6JKHw0bp18JLwuzUQ==/com.detoxsample-KeNF4UzwnKhQA0I-MtXn_A==/lib/arm64 flags = 0]
03-22 11:11:05.470  8730  8730 D SoLoader: adding backup source from : com.facebook.soloader.ApkSoSource[root = /data/data/com.detoxsample/lib-main flags = 1]
03-22 11:11:05.470  8730  8730 D SoLoader: Preparing SO source: com.facebook.soloader.DirectorySoSource[root = /system/lib64 flags = 2]
03-22 11:11:05.470  8730  8730 D SoLoader: Preparing SO source: com.facebook.soloader.DirectorySoSource[root = /vendor/lib64 flags = 2]
